Arts & Entertainment
Amphitheater
Aquarium
Arcade
Art Gallery
Bowling Alley
Casino
Circus
Comedy Club
Concert Hall
Country Dance Club
Disc Golf
Exhibit
General Entertainment
Go Kart Track
Historic Site
Karaoke Box
Laser Tag
Memorial Site
Mini Golf
Movie Theater
Drive-in Theater
Indie Movie Theater
Multiplex
Museum
Art Museum
Erotic Museum
History Museum
Planetarium
Science Museum
Music Venue
Jazz Club
Piano Bar
Rock Club
Pachinko Parlor
Performing Arts Venue
Dance Studio
Indie Theater
Opera House
Theater
Pool Hall
Public Art
Outdoor Sculpture
Street Art
Racecourse
Racetrack
Roller Rink
Salsa Club
Samba School
Stadium
Baseball Stadium
Cricket Ground
Football Stadium
Hockey Arena
Rugby Stadium
Soccer Stadium
Tennis Stadium
Track Stadium
Theme Park
Theme Park Ride / Attraction
Tour Provider
Water Park
Zoo
Zoo Exhibit
College Gym
College Stadium
College Baseball Diamond
College Basketball Court
College Cricket Pitch
College Football Field
College Hockey Rink
College Soccer Field
College Tennis Court
College Track
College Theater
Event
Christmas Market
Festival
Music Festival
Other Event
Street Fair
Nightlife Spot
Bar
Beach Bar
Beer Bar
Beer Garden
Champagne Bar
Cocktail Bar
Dive Bar
Gay Bar
Hookah Bar
Hotel Bar
Karaoke Bar
Pub
Sake Bar
Speakeasy
Sports Bar
Tiki Bar
Whisky Bar
Wine Bar
Brewery
Lounge
Night Market
Nightclub
Other Nightlife
Strip Club
Outdoors & Recreation
Athletics & Sports
Badminton Court
Baseball Field
Basketball Court
Bowling Green
Curling Ice
Golf Course
Golf Driving Range
Gym / Fitness Center
Boxing Gym
Climbing Gym
Cycle Studio
Gym Pool
Gymnastics Gym
Gym
Martial Arts Dojo
Outdoor Gym
Pilates Studio
Track
Weight Loss Center
Yoga Studio
Hockey Field
Hockey Rink
Paintball Field
Rugby Pitch
Skate Park
Skating Rink
Soccer Field
Sports Club
Squash Court
Tennis Court
Volleyball Court
Bathing Area
Bay
Beach
Nudist Beach
Surf Spot
Bike Trail
Botanical Garden
Campground
Dive Spot
Fishing Spot
Hot Spring
Indoor Play Area
National Park
Nature Preserve
Playground
Pool
Rafting
Recreation Center
Rock Climbing Spot
Scenic Lookout
Sculpture Garden
Ski Area
Apres Ski Bar
Ski Chairlift
Ski Chalet
Ski Lodge
Ski Trail
Skydiving Drop Zone
Art Studio
Auditorium
Ballroom
Cultural Center
Distillery
Fair
Social Club
Warehouse
Wedding Hall
Winery
Shop & Service
Adult Boutique
Antique Shop
Arts & Crafts Store
Astrologer
Auto Dealership
Auto Garage
Auto Workshop
Automotive Shop
Baby Store
Bath House
Batik Shop
Betting Shop
Big Box Store
Bike Shop
Board Shop
Bookstore
Bridal Shop
Camera Store
Carpet Store
Clothing Store
Accessories Store
Boutique
Kids Store
Lingerie Store
Men's Store
Shoe Store
Women's Store
Comic Shop
Convenience Store
Cosmetics Shop
Costume Shop
Department Store
Design Studio
Discount Store
Dive Shop
Drugstore
Electronics Store
Entertainment Service
Fabric Shop
Film Studio
Fireworks Store
Fishing Store
Flea Market
Floating Market
Flower Shop
Frame Store
Furniture / Home Store
Lighting Store
Gaming Cafe
Garden Center
Gift Shop
Hardware Store
Health & Beauty Service
Hobby Shop
Jewelry Store
Knitting Store
Leather Goods Store
Marijuana Dispensary
Market
Massage Studio
Miscellaneous Shop
Mobile Phone Shop
Mobility Store
Motorcycle Shop
Motorsports Shop
Music Store
Nail Salon
Outdoor Supply Store
Outlet Mall
Outlet Store
Perfume Shop
Photography Lab
Photography Studio
Piercing Parlor
Pop-Up Shop
Record Shop
Recording Studio
Salon / Barbershop
Sauna / Steam Room
Shipping Store
Shopping Mall
Shopping Plaza
Ski Shop
Smoke Shop
Smoothie Shop
Souvenir Shop
Spa
Sporting Goods Shop
Stationery Store
Tailor Shop
Tanning Salon
Tattoo Parlor
Thrift / Vintage Store
Toy / Game Store
Used Bookstore
Vape Store
Video Game Store
Video Store
Warehouse Store
Watch Shop
Hotel
Bed & Breakfast
Boarding House
Hostel
Hotel Pool
Motel
Resort
Roof Deck
Vacation Rental
Tourist Information Center
